ID,type,case,year,datum,utm_zone,x,y,w_up,SageHgtSD,Bare,Herb,Sage,Shrub,Rough200m,FenceDist,PowerDist
114,0,FALSE,2017,NAD83,13,384456.3572,4908648.963,1000,12.17660427,33.88692474,33.13672638,10.81306267,13.1093359,451.8833313,898.92931,7925.173338
115,0,FALSE,2017,NAD83,13,387015.8863,4917826.457,1000,16.0014801,17.61378479,44.73443604,10.59383011,15.30009079,24.10597801,100.5485433,3353.411331
116,0,FALSE,2017,NAD83,13,397478.9158,4911036.58,1000,19.25680923,51.69337463,23.91292572,8.639391899,10.93323898,251.3002472,818.9736293,4087.274402
117,0,FALSE,2017,NAD83,13,393424.4809,4910226.804,1000,15.19487286,36.88274765,27.40376472,13.5186224,16.42082787,184.2937164,463.9886602,4647.557969
118,0,FALSE,2017,NAD83,13,393925.9971,4920964.01,1000,14.61762905,58.57902908,25.54782677,2.921033144,4.88106966,134.743927,709.2322483,633.4192181
119,0,FALSE,2017,NAD83,13,396134.9329,4915971.503,1000,13.14442825,41.59651566,26.60246849,11.98811531,14.80539322,317.6964417,1116.687606,8977.384066
120,0,FALSE,2017,NAD83,13,393012.0355,4900652.891,1000,14.01921654,47.30841827,25.01979065,10.55344868,12.92579651,83.26136017,74.21864138,2167.631585
121,0,FALSE,2017,NAD83,13,396950.7295,4913602.122,1000,9.156640053,30.2439537,29.46016502,14.60216808,19.88553238,228.7641296,102.9858316,9010.635725
122,0,FALSE,2017,NAD83,13,399041.0977,4903028.515,1000,7.125819206,38.14255524,27.30076218,12.84182167,15.12887287,109.1131973,432.3711117,987.5118873
123,0,FALSE,2017,NAD83,13,388334.6626,4918314.999,1000,17.6452961,48.56575012,25.72501755,8.375817299,9.87921524,192.5507202,141.1083615,2749.995587
124,0,FALSE,2017,NAD83,13,386418.3626,4920978.869,1000,14.05375099,37.68232346,32.19148636,9.902557373,12.09627151,85.07382202,368.6945145,7162.302041
125,0,FALSE,2017,NAD83,13,379976.4784,4914053.646,1000,15.77106857,46.42670441,28.40028,8.78775692,10.27394962,205.3805237,785.924021,1695.77164
126,0,FALSE,2017,NAD83,13,381263.8438,4917039.521,1000,16.63163185,45.32897568,26.50074387,10.09113693,13.34896946,383.3927612,320.9229146,197.2834059
127,0,FALSE,2017,NAD83,13,401507.9155,4911399.95,1000,10.03237534,35.79217911,31.20457458,11.14277554,12.98268986,92.00126648,303.6135535,5512.287031
128,0,FALSE,2017,NAD83,13,401554.95,4908748.503,1000,8.354294777,37.40572739,25.33413124,15.86492825,18.03700829,123.6706467,411.1083615,7366.298528
129,0,FALSE,2017,NAD83,13,393788.383,4910035.136,1000,7.592402935,32.33852768,28.10338402,15.45112228,18.99425125,187.8889771,667.4174244,3489.240472
130,0,FALSE,2017,NAD83,13,392367.5101,4919717.039,1000,16.9778862,43.98478317,27.8676281,9.068763733,10.96324348,122.2995605,180.8156622,1138.402016
131,0,FALSE,2017,NAD83,13,386369.2058,4924135.01,1000,14.11220837,27.68539429,33.97363663,12.64403439,16.61062431,243.3782196,188.5521143,17260.5276
132,0,FALSE,2017,NAD83,13,396470.6012,4899840.096,1000,7.730489254,31.25170708,28.80328178,15.75112152,18.51277924,68.87004089,274.6303586,6401.237668
133,0,FALSE,2017,NAD83,13,397829.4019,4919483.799,1000,8.565756798,34.81345367,29.10210037,13.48281097,16.27210045,199.549057,8.891638483,5576.603699
134,0,FALSE,2017,NAD83,13,391205.2539,4908562.551,1000,18.73352623,57.23108673,22.67718887,5.893778801,7.748588562,265.9917603,848.9707315,11120.99944
135,0,FALSE,2017,NAD83,13,389563.8453,4903537.101,1000,9.895464897,29.19900513,37.32716751,9.409749985,12.46970749,38.67771912,118.6108847,4400.561051
136,0,FALSE,2017,NAD83,13,391906.7759,4906911.448,1000,14.92597198,42.53213501,26.7181015,11.49166012,13.89358616,230.9472809,201.1083615,6144.385924
137,0,FALSE,2017,NAD83,13,389282.4502,4921961.576,1000,6.063071251,38.90930557,29.63855934,11.31669331,12.94160557,130.3367767,678.7522318,7317.889514
138,0,FALSE,2017,NAD83,13,391372.7475,4913316.868,1000,16.54046822,57.73166656,21.67011642,6.647799969,8.723905563,316.646759,818.5764406,8834.130025
